response,sentiment,adoption_stage,main_barrier
Our pilot is running but we've had a few cases where the AI gave wrong information to customers. Reviewing carefully.,neutral,piloting,trust
Not going down the AI route. Too many stories of errors and bias. We'd rather keep humans in control.,negative,not_interested,trust
AI exploration was discouraging. The tools expect you to have a data science background just to get started.,negative,exploring,skills
AI is embedded in our ops but there have been a few customer-facing errors that prompted us to review our governance.,neutral,scaling,trust
We're running AI at scale but keeping close human oversight after some unexpected outputs earlier in the year.,neutral,scaling,trust
Just starting to explore AI but the potential is clear. Taking our time to find the right fit.,positive,exploring,none
On the fence about AI. The technology seems impressive but we've had one bad experience with automation before.,neutral,exploring,trust
We're piloting carefully and keeping a human check on all outputs. The tool isn't reliable enough yet to operate unsupervised.,neutral,piloting,trust
"We're exploring AI but the more we read about errors and biases, the more cautious we feel. Not ready to commit.",neutral,exploring,trust
We've shortlisted a few AI tools but the price points are giving us pause. Holding off until we have more clarity.,neutral,exploring,cost
We're exploring AI tools seriously but keeping a close eye on cost. Want to find best value before committing.,positive,exploring,cost
We ran an AI pilot that we had to terminate after the tool gave a customer significantly wrong information. Trust gone.,negative,piloting,trust
We ran a pilot but it failed. Our team couldn't get to grips with the tool despite weeks of training.,negative,piloting,skills
We paired the rollout with structured training and it made a huge difference. People who were sceptical are now evangelists.,positive,scaling,skills
We're open to AI in principle but not ready to adopt it yet. Need to see stronger reliability evidence first.,neutral,not_interested,trust
We ran an AI pilot that we had to terminate after the tool gave a customer significantly wrong information. Trust gone.,negative,piloting,trust
Pilot is live but we're not ready to trust it without human oversight. Some outputs have been inconsistent.,neutral,piloting,trust
Ran a pilot for three months — it just didn't work for us. The interface was complex and the team never got comfortable.,negative,piloting,skills
Scaling went okay but we underestimated how much ongoing training would be needed as the tools update and evolve.,neutral,scaling,skills
We ran a pilot but it failed. Our team couldn't get to grips with the tool despite weeks of training.,negative,piloting,skills
We're enthusiastic about AI but won't rush into something that breaks the budget. Taking time to find the right deal.,positive,exploring,cost
We had a thorough cost-benefit analysis before scaling and the numbers stacked up. Still happy with that decision.,positive,scaling,cost
We did some research on AI tools and came away deeply sceptical. The accuracy claims don't match what we've heard.,negative,exploring,trust
"We considered AI but between the technical setup and staff training, the human cost ruled it out for us.",negative,not_interested,skills
We decided against AI. The data privacy implications are too significant for us to be comfortable.,negative,not_interested,trust
We're exploring AI tools seriously but keeping a close eye on cost. Want to find best value before committing.,positive,exploring,cost
Just starting to explore AI but the potential is clear. Taking our time to find the right fit.,positive,exploring,none
We evaluated several AI tools and came away more worried than when we started. The trust just isn't there for us.,negative,not_interested,trust
Our pilot needed more training than expected but the results make it worthwhile. Team is getting there and results are promising.,positive,piloting,skills
Scaling went okay but we underestimated how much ongoing training would be needed as the tools update and evolve.,neutral,scaling,skills
"Our pilot with AI invoicing has been a revelation — errors down, admin time cut, team much happier.",positive,piloting,none
"We're testing it and it's fine, but fine isn't worth the price tag. Need to see more compelling results before committing.",neutral,piloting,cost
Piloting an AI content tool and it's been genuinely impressive. Our marketing output has doubled in quality and speed.,positive,piloting,none
Scaling went okay but we underestimated how much ongoing training would be needed as the tools update and evolve.,neutral,scaling,skills
"We've scaled AI but we're battling an adoption gap — some teams use it brilliantly, others barely touch it.",neutral,scaling,skills
We ran a pilot but it failed. Our team couldn't get to grips with the tool despite weeks of training.,negative,piloting,skills
"We looked into AI but the more we learned about how it works, the less comfortable we felt. Too many unknowns.",negative,exploring,trust
The learning curve was steep but our team got there. Now AI is second nature and adoption keeps growing organically.,positive,scaling,skills
AI isn't on our roadmap currently — the pricing models we've seen don't fit our budget or scale.,neutral,not_interested,cost
We're holding off on AI for now. We want to see more evidence of reliability before we'd be comfortable adopting it.,neutral,not_interested,trust
We're holding off on AI for now. We want to see more evidence of reliability before we'd be comfortable adopting it.,neutral,not_interested,trust
We tried to research AI tools but every solution assumed a level of technical expertise we don't have. Gave up.,negative,exploring,skills
We'd need to completely retrain our team or hire specialists to implement AI. That's not realistic for us.,negative,not_interested,skills
We've rolled out AI broadly but the pricing model changed after year one. Reassessing whether to continue at this scale.,neutral,scaling,cost
"Explored AI options but concluded that without dedicated technical staff, we'd be setting ourselves up to fail.",negative,exploring,skills
Our AI pilot was unsuccessful. The technology needed more technical management than we could provide.,negative,piloting,skills
Began looking into AI last quarter and pulled back fast. The cost of entry is too high for our margin structure.,negative,exploring,cost
"Running a pilot now. The AI does what we need but when I work out the annual cost, the ROI is marginal at best.",neutral,piloting,cost
AI adoption is on hold pending better evidence of accuracy and reliability. We'll reassess when those questions are answered.,neutral,not_interested,trust
Skills took time to build during the pilot but we got there. Now the team actually enjoys using the AI tools.,positive,piloting,skills
We've decided to wait on AI. The technology is evolving fast and we'd rather let it mature before committing.,neutral,not_interested,trust
AI is not on our near-term roadmap. The capability gap is too large to bridge without significant investment in people.,neutral,not_interested,skills
We started looking into AI but stopped when we saw the pricing. Just not accessible for small businesses like ours.,negative,exploring,cost
We're not pursuing AI currently — getting the skills in place would require hiring or retraining we can't prioritise.,neutral,not_interested,skills
"Really keen on AI adoption, but we need the pricing to make sense for a business our size. Still looking.",positive,exploring,cost
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
I looked into AI for our business and the setup costs alone would take years to recoup. We've decided against it.,negative,not_interested,cost
Our AI pilot ended badly. We had two incidents where the AI made decisions we would never have approved. Trust destroyed.,negative,piloting,trust
We ran an AI pilot and ended it early. Cost per result was far too high to justify at any scale.,negative,piloting,cost
"We didn't underestimate the skills investment. Because we prepared properly, the scaling has gone really smoothly.",positive,scaling,skills
The monthly spend is significant but the efficiency gains more than offset it. We'd scale further if we could.,positive,scaling,cost
We haven't committed yet but everything we're seeing makes us want to move faster on this.,positive,exploring,none
In research mode but increasingly aware that our skills gap is a real barrier. Not sure how to bridge it affordably.,neutral,exploring,skills
"We considered AI but between the technical setup and staff training, the human cost ruled it out for us.",negative,not_interested,skills
"We explored it and walked away. Licensing, integration, and ongoing costs are too much for where we are financially.",negative,not_interested,cost
"Our people needed upskilling before we could scale, and we invested in that. Happy we did — the capability is now a real asset.",positive,scaling,skills
AI is embedded in our ops but there have been a few customer-facing errors that prompted us to review our governance.,neutral,scaling,trust
Looking into AI but data privacy is a big concern. We handle customer data and can't afford to get it wrong.,neutral,exploring,trust
"After reading the small print on data usage, we decided we couldn't trust these companies with our business information.",negative,exploring,trust
Scaling AI has been broadly positive but the financial side needs more active management than we anticipated.,neutral,scaling,cost
Pilot is going okay but every vendor conversation circles back to upselling. Cost is becoming a sticking point.,neutral,piloting,cost
I tried to get buy-in for AI but the honest reality is our team isn't equipped for it. We've decided not to pursue it.,negative,not_interested,skills
"Our pilot with AI invoicing has been a revelation — errors down, admin time cut, team much happier.",positive,piloting,none
Our team doesn't have the technical background for AI adoption and we can't afford to build that capability. Moving on.,negative,not_interested,skills
AI is in use across the business but the skills gap is a persistent issue. We're managing but it takes resource.,neutral,scaling,skills
We explored AI seriously but the skills required to implement it properly aren't something we can realistically build.,negative,exploring,skills
We were keen to explore AI but the pricing completely put us off. There's a real gap in the market for affordable SME tools.,negative,exploring,cost
Our AI pilot for customer service has been brilliant — response times halved and satisfaction scores are up.,positive,piloting,none
The pilot failed because we simply couldn't operate the tool without constant help from the vendor. That's not workable.,negative,piloting,skills
"The pilot requires more hands-on support than I expected, but the value is real. We're upskilling the team to keep momentum.",positive,piloting,skills
AI is appealing but we're a lean team and every cost decision matters. Still searching for something that makes financial sense.,neutral,exploring,cost
"We piloted an AI solution and while it had some value, the pricing structure meant we couldn't scale it. Ended the contract.",negative,piloting,cost
The AI chatbot pilot has exceeded expectations. Customers get faster answers and our staff focus on complex issues.,positive,piloting,none
"We've scaled but the cost base has grown with it. Worth it so far, but we're monitoring closely.",neutral,scaling,cost
We're piloting an AI tool but outputs aren't always reliable enough for our standards. Still evaluating.,neutral,piloting,trust
We went all-in on AI twelve months ago and haven't looked back. Our team is more focused and our customers are happier.,positive,scaling,none
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
"Research into AI made us more sceptical, not less. We couldn't find a tool we'd be comfortable trusting with real decisions.",negative,exploring,trust
Ran a pilot for three months — it just didn't work for us. The interface was complex and the team never got comfortable.,negative,piloting,skills
AI is deployed widely but we've introduced human-in-the-loop checks after some reliability concerns. Cautiously optimistic.,neutral,scaling,trust
"AI adoption is on ice for now. The pricing structure doesn't work for us, though we're open to revisiting in future.",neutral,not_interested,cost
"We're running an AI pilot but ongoing costs are higher than forecast. Useful, but not sure the numbers stack up.",neutral,piloting,cost
Exciting time to be exploring AI. We've shortlisted three vendors and are doing demos next month.,positive,exploring,none
AI exploration was discouraging. The tools expect you to have a data science background just to get started.,negative,exploring,skills
We're running AI at scale but keeping close human oversight after some unexpected outputs earlier in the year.,neutral,scaling,trust
We looked at AI and decided the skills investment was too large for us at this stage. Revisiting next year maybe.,neutral,not_interested,skills
The pilot failed because we simply couldn't operate the tool without constant help from the vendor. That's not workable.,negative,piloting,skills
On the fence about AI. The technology seems impressive but we've had one bad experience with automation before.,neutral,exploring,trust
"Our people needed upskilling before we could scale, and we invested in that. Happy we did — the capability is now a real asset.",positive,scaling,skills
"AI is scaled but the capability isn't evenly distributed. Some staff are excellent, others need significant ongoing support.",neutral,scaling,skills
"We've expanded AI use significantly but training is an ongoing burden. It's worth it, but it's a real commitment.",neutral,scaling,skills
The numbers don't add up. Too expensive for the value it would deliver at our scale. We've moved on.,negative,not_interested,cost
Three months into our AI pilot and results are better than we projected. Full rollout planned for next quarter.,positive,piloting,none
We did some research on AI tools and came away deeply sceptical. The accuracy claims don't match what we've heard.,negative,exploring,trust
Exploring AI options but every demo leads to a pricing conversation we're not ready for. Taking our time.,neutral,exploring,cost
We explored AI options but the combination of data privacy concerns and inconsistent accuracy made it a non-starter.,negative,exploring,trust
"AI is scaled but the capability isn't evenly distributed. Some staff are excellent, others need significant ongoing support.",neutral,scaling,skills
The numbers don't add up. Too expensive for the value it would deliver at our scale. We've moved on.,negative,not_interested,cost
Not moving forward with AI for now. We're a small team and don't have the technical depth to make it work properly.,neutral,not_interested,skills
We brought in a part-time AI specialist to help with the rollout. Cost more upfront but made the whole thing a success.,positive,scaling,skills
We're not pursuing AI right now — we don't have the skills internally and it's not the right time to hire for them.,neutral,not_interested,skills
AI is embedded in our ops but there have been a few customer-facing errors that prompted us to review our governance.,neutral,scaling,trust
AI is deployed across the business but usage is inconsistent. Skills vary a lot between departments.,neutral,scaling,skills
We're running a pilot and results are mixed. The staff who get it see real value; the others find it frustrating.,neutral,piloting,skills
AI is embedded in our ops but there have been a few customer-facing errors that prompted us to review our governance.,neutral,scaling,trust
"AI adoption is on ice for now. The pricing structure doesn't work for us, though we're open to revisiting in future.",neutral,not_interested,cost
We looked at AI seriously and the costs are just not feasible for a business our size. Not pursuing this.,negative,not_interested,cost
We explored AI briefly but the financial reality killed the idea quickly. The industry hasn't made this accessible yet.,negative,exploring,cost
"Our pilot ended because the tool requires specialist skills to use properly, and we don't have them and can't hire them.",negative,piloting,skills
"We're testing it and it's fine, but fine isn't worth the price tag. Need to see more compelling results before committing.",neutral,piloting,cost
Our pilot needed more training than expected but the results make it worthwhile. Team is getting there and results are promising.,positive,piloting,skills
AI is in use across the business but the skills gap is a persistent issue. We're managing but it takes resource.,neutral,scaling,skills
The price tags for AI tools are completely out of range for us. We've parked the idea indefinitely.,negative,not_interested,cost
We want to adopt AI and are actively exploring. Cost is a factor but we're confident there's a sensible option out there.,positive,exploring,cost
I've been researching AI solutions for months and I'm genuinely excited. The right tool for our size definitely exists.,positive,exploring,none
Not going down the AI route. Too many stories of errors and bias. We'd rather keep humans in control.,negative,not_interested,trust
"We piloted an AI solution and while it had some value, the pricing structure meant we couldn't scale it. Ended the contract.",negative,piloting,cost
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
"We explored it and walked away. Licensing, integration, and ongoing costs are too much for where we are financially.",negative,not_interested,cost
AI is live across most departments but we're concerned about sustainability. The value is real but so is the monthly spend.,neutral,scaling,cost
We're open to AI in principle but not ready to adopt it yet. Need to see stronger reliability evidence first.,neutral,not_interested,trust
"We're in the pilot phase and the tool has genuine uses, but the subscription model at full scale worries us.",neutral,piloting,cost
We're not pursuing AI currently — getting the skills in place would require hiring or retraining we can't prioritise.,neutral,not_interested,skills
We're not pursuing AI right now — we don't have the skills internally and it's not the right time to hire for them.,neutral,not_interested,skills
AI is deployed widely but we've had to renegotiate contracts twice because costs kept creeping up.,neutral,scaling,cost
Not moving ahead with AI at this stage. We want more proven track record before trusting it with business-critical tasks.,neutral,not_interested,trust
Not pursuing AI for now. It's not that we're against it — the cost-benefit just doesn't add up at our current size.,neutral,not_interested,cost
"We've scaled AI but we're battling an adoption gap — some teams use it brilliantly, others barely touch it.",neutral,scaling,skills
The learning curve was steeper than the vendor suggested but the outcomes are positive enough that we're pushing through.,positive,piloting,skills
Skills took time to build during the pilot but we got there. Now the team actually enjoys using the AI tools.,positive,piloting,skills
Our pilot needed more training than expected but the results make it worthwhile. Team is getting there and results are promising.,positive,piloting,skills
Interested in AI but worried about vendor lock-in and what happens to our data. Exploring very carefully.,neutral,exploring,trust
AI is deployed widely but we've introduced human-in-the-loop checks after some reliability concerns. Cautiously optimistic.,neutral,scaling,trust
We're not pursuing AI right now — we don't have the skills internally and it's not the right time to hire for them.,neutral,not_interested,skills
Started down the AI exploration path but the skills barrier was obvious very quickly. We don't have what's needed.,negative,exploring,skills
AI is live but trust is fragile after two incidents last quarter. We've tightened controls and are monitoring closely.,neutral,scaling,trust
AI is deployed widely but we've introduced human-in-the-loop checks after some reliability concerns. Cautiously optimistic.,neutral,scaling,trust
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
"We've expanded AI use significantly but training is an ongoing burden. It's worth it, but it's a real commitment.",neutral,scaling,skills
AI is interesting but reliability worries us. We've seen too many examples of AI getting it wrong in ways that matter.,neutral,exploring,trust
Pilot is live but we're not ready to trust it without human oversight. Some outputs have been inconsistent.,neutral,piloting,trust
We've done the analysis and can't justify the spend at this point. Maybe when we're bigger or prices come down.,neutral,not_interested,cost
AI is live everywhere but we're struggling to maintain the skills needed to keep it running well. High turnover doesn't help.,neutral,scaling,skills
I've been researching AI solutions for months and I'm genuinely excited. The right tool for our size definitely exists.,positive,exploring,none
"We underestimated how much training the pilot would need, but we committed to it and the results have justified that.",positive,piloting,skills
"We've scaled but the cost base has grown with it. Worth it so far, but we're monitoring closely.",neutral,scaling,cost
Our pilot has shown some value but per-user licensing is expensive at scale. Waiting to negotiate better rates.,neutral,piloting,cost
"Running a pilot now. The AI does what we need but when I work out the annual cost, the ROI is marginal at best.",neutral,piloting,cost
Running AI at scale but data governance has become a bigger issue than we anticipated. Working through it.,neutral,scaling,trust
AI is in use across the business but the skills gap is a persistent issue. We're managing but it takes resource.,neutral,scaling,skills
Our pilot has shown some value but per-user licensing is expensive at scale. Waiting to negotiate better rates.,neutral,piloting,cost
We've scaled AI across the business but the cumulative cost is now significant. Still valuable but watching the budget closely.,neutral,scaling,cost
On the fence about AI. The technology seems impressive but we've had one bad experience with automation before.,neutral,exploring,trust
"We've scaled but the cost base has grown with it. Worth it so far, but we're monitoring closely.",neutral,scaling,cost
Exploring AI but the skill requirements feel steep. We'd need either training or external help — neither is cheap or quick.,neutral,exploring,skills
We started exploring AI but quickly realised our team doesn't have the capability to implement or maintain it.,negative,exploring,skills
We're not interested in AI right now — data privacy regulations are still catching up with the technology and we're cautious.,neutral,not_interested,trust
We started looking into AI but stopped when we saw the pricing. Just not accessible for small businesses like ours.,negative,exploring,cost
We've decided to wait on AI. The technology is evolving fast and we'd rather let it mature before committing.,neutral,not_interested,trust
"Our pilot ended because the tool requires specialist skills to use properly, and we don't have them and can't hire them.",negative,piloting,skills
AI is live everywhere but we're struggling to maintain the skills needed to keep it running well. High turnover doesn't help.,neutral,scaling,skills
We were keen to explore AI but the pricing completely put us off. There's a real gap in the market for affordable SME tools.,negative,exploring,cost
"AI adoption is on ice for now. The pricing structure doesn't work for us, though we're open to revisiting in future.",neutral,not_interested,cost
At the research stage but very enthusiastic. AI could help us genuinely compete with much larger players.,positive,exploring,none
"We didn't underestimate the skills investment. Because we prepared properly, the scaling has gone really smoothly.",positive,scaling,skills
Six weeks into an AI analytics pilot and we've already uncovered insights that changed how we think about our market.,positive,piloting,none
"The licensing fees are real, but so are the savings. Our AI tools have paid for themselves three times over this year.",positive,scaling,cost
We tested an AI system but it kept producing factually incorrect outputs. Had to pull the plug.,negative,piloting,trust
Piloting an AI content tool and it's been genuinely impressive. Our marketing output has doubled in quality and speed.,positive,piloting,none
AI is deployed widely but we've introduced human-in-the-loop checks after some reliability concerns. Cautiously optimistic.,neutral,scaling,trust
We're not pursuing AI currently — getting the skills in place would require hiring or retraining we can't prioritise.,neutral,not_interested,skills
We'd need to completely retrain our team or hire specialists to implement AI. That's not realistic for us.,negative,not_interested,skills
Our pilot has shown some value but per-user licensing is expensive at scale. Waiting to negotiate better rates.,neutral,piloting,cost
The AI chatbot pilot has exceeded expectations. Customers get faster answers and our staff focus on complex issues.,positive,piloting,none
Three months into our AI pilot and results are better than we projected. Full rollout planned for next quarter.,positive,piloting,none
We're open to AI in principle but not ready to adopt it yet. Need to see stronger reliability evidence first.,neutral,not_interested,trust
We piloted an AI tool and found outputs unreliable. It gave wrong information to customers on multiple occasions.,negative,piloting,trust
"It's expensive technology, but we treat it like any other capital investment — and the returns are there.",positive,scaling,cost
"We're exploring AI but the more we read about errors and biases, the more cautious we feel. Not ready to commit.",neutral,exploring,trust
AI is appealing but we're a lean team and every cost decision matters. Still searching for something that makes financial sense.,neutral,exploring,cost
Scaling AI has been broadly positive but the financial side needs more active management than we anticipated.,neutral,scaling,cost
"AI adoption is on ice for now. The pricing structure doesn't work for us, though we're open to revisiting in future.",neutral,not_interested,cost
We're holding off on AI for now. We want to see more evidence of reliability before we'd be comfortable adopting it.,neutral,not_interested,trust
On the fence. The tools look useful but we'd need clearer ROI data before spending that kind of money.,neutral,exploring,cost
Testing AI at the moment. It mostly works but there are edge cases where the output is just wrong. Keeping humans in the loop.,neutral,piloting,trust
AI isn't happening for us right now. The technical requirements exceed what our current team can handle.,neutral,not_interested,skills
AI is deployed widely but we've introduced human-in-the-loop checks after some reliability concerns. Cautiously optimistic.,neutral,scaling,trust
We looked at AI seriously and the costs are just not feasible for a business our size. Not pursuing this.,negative,not_interested,cost
Not pursuing AI for now. It's not that we're against it — the cost-benefit just doesn't add up at our current size.,neutral,not_interested,cost
AI is embedded in our ops but there have been a few customer-facing errors that prompted us to review our governance.,neutral,scaling,trust
We're not pursuing AI right now — we don't have the skills internally and it's not the right time to hire for them.,neutral,not_interested,skills
The pilot is useful in controlled conditions but we've had enough unexpected outputs to be cautious about full deployment.,neutral,piloting,trust
